,id,dominant_driver,area_ha,year
541,8,2,26480.80648,2017
542,8,2,23760.492890000005,2018
543,8,2,23518.136479999997,2019
544,8,2,25390.561519999996,2020
545,8,2,33394.02461,2021
546,8,4,121.11111000000001,2001
547,8,4,9.60719,2002
548,8,4,27.08168,2003
549,8,4,22.84544,2004
550,8,4,109.15886,2005
551,8,4,19.59262,2006
552,8,4,28.0651,2007
553,8,4,13.23825,2008
554,8,4,8.92637,2009
555,8,4,43.49712,2010
556,8,4,42.81629,2011
557,8,4,39.71476,2012
558,8,4,87.82636,2013
559,8,4,38.12617,2014
560,8,4,21.3325,2015
561,8,4,74.28551999999999,2016
562,8,4,95.31543,2017
563,8,4,36.15934,2018
564,8,4,9.4559,2019
565,8,4,10.21237,2020
566,8,4,17.24755,2021
567,9,1,50746.97965999999,2001
568,9,1,52369.48153999999,2002
569,9,1,27808.863960000002,2003
570,9,1,53260.09200999999,2004
571,9,1,131759.54737,2005
572,9,1,31193.712120000004,2006
573,9,1,26154.211049999998,2007
574,9,1,40511.991420000006,2008
575,9,1,26051.76674,2009
576,9,1,33414.64739,2010
577,9,1,30337.628969999998,2011
578,9,1,45840.08646,2012
579,9,1,39369.830069999996,2013
580,9,1,50158.022520000006,2014
581,9,1,40586.2005,2015
582,9,1,70912.85244999999,2016
583,9,1,68876.216,2017
584,9,1,69335.51063,2018
585,9,1,68782.92632,2019
586,9,1,72789.04735000001,2020
587,9,1,95323.69173,2021
588,9,2,18527.57554,2001
589,9,2,18064.29454,2002
590,9,2,10717.94385,2003
591,9,2,15025.864379999997,2004
592,9,2,41108.683419999994,2005
593,9,2,10359.701200000001,2006
594,9,2,10095.345530000002,2007
595,9,2,15310.51449,2008
596,9,2,10723.661509999998,2009
597,9,2,10260.848859999996,2010
598,9,2,9279.12129,2011
599,9,2,18979.110850000005,2012
600,9,2,13196.684379999999,2013
601,9,2,17124.37219,2014
602,9,2,12845.18896,2015
603,9,2,26801.7363,2016
604,9,2,26480.80648,2017
605,9,2,23760.492890000005,2018
606,9,2,23518.136479999997,2019
607,9,2,25390.561519999996,2020
608,9,2,33394.02461,2021
609,9,4,121.11111000000001,2001
610,9,4,9.60719,2002
611,9,4,27.08168,2003
612,9,4,22.84544,2004
613,9,4,109.15886,2005
614,9,4,19.59262,2006
615,9,4,28.0651,2007
616,9,4,13.23825,2008
617,9,4,8.92637,2009
618,9,4,43.49712,2010
619,9,4,42.81629,2011
620,9,4,39.71476,2012
621,9,4,87.82636,2013
622,9,4,38.12617,2014
623,9,4,21.3325,2015
624,9,4,74.28551999999999,2016
625,9,4,95.31543,2017
626,9,4,36.15934,2018
627,9,4,9.4559,2019
628,9,4,10.21237,2020
629,9,4,17.24755,2021
630,10,1,50746.97965999999,2001
631,10,1,52369.48153999999,2002
632,10,1,27808.863960000002,2003
633,10,1,53260.09200999999,2004
634,10,1,131759.54737,2005
635,10,1,31193.712120000004,2006
636,10,1,26154.211049999998,2007
637,10,1,40511.991420000006,2008
638,10,1,26051.76674,2009
639,10,1,33414.64739,2010
640,10,1,30337.628969999998,2011
641,10,1,45840.08646,2012
642,10,1,39369.830069999996,2013
643,10,1,50158.022520000006,2014
644,10,1,40586.2005,2015
645,10,1,70912.85244999999,2016
646,10,1,68876.216,2017
647,10,1,69335.51063,2018
648,10,1,68782.92632,2019
649,10,1,72789.04735000001,2020
650,10,1,95323.69173,2021
651,10,2,18527.57554,2001
652,10,2,18064.29454,2002
653,10,2,10717.94385,2003
654,10,2,15025.864379999997,2004
655,10,2,41108.683419999994,2005
656,10,2,10359.701200000001,2006
657,10,2,10095.345530000002,2007
658,10,2,15310.51449,2008
659,10,2,10723.661509999998,2009
660,10,2,10260.848859999996,2010
661,10,2,9279.12129,2011
662,10,2,18979.110850000005,2012
663,10,2,13196.684379999999,2013
664,10,2,17124.37219,2014
665,10,2,12845.18896,2015
666,10,2,26801.7363,2016
667,10,2,26480.80648,2017
668,10,2,23760.492890000005,2018
669,10,2,23518.136479999997,2019
670,10,2,25390.561519999996,2020
671,10,2,33394.02461,2021
672,10,4,121.11111000000001,2001
673,10,4,9.60719,2002
674,10,4,27.08168,2003
675,10,4,22.84544,2004
676,10,4,109.15886,2005
677,10,4,19.59262,2006
678,10,4,28.0651,2007
679,10,4,13.23825,2008
680,10,4,8.92637,2009
681,10,4,43.49712,2010
682,10,4,42.81629,2011
683,10,4,39.71476,2012
684,10,4,87.82636,2013
685,10,4,38.12617,2014
686,10,4,21.3325,2015
687,10,4,74.28551999999999,2016
688,10,4,95.31543,2017
689,10,4,36.15934,2018
690,10,4,9.4559,2019
691,10,4,10.21237,2020
692,10,4,17.24755,2021
693,11,1,50746.97965999999,2001
694,11,1,52369.48153999999,2002
695,11,1,27808.863960000002,2003
696,11,1,53260.09200999999,2004
697,11,1,131759.54737,2005
698,11,1,31193.712120000004,2006
699,11,1,26154.211049999998,2007
700,11,1,40511.991420000006,2008
701,11,1,26051.76674,2009
702,11,1,33414.64739,2010
703,11,1,30337.628969999998,2011
704,11,1,45840.08646,2012
705,11,1,39369.830069999996,2013
706,11,1,50158.022520000006,2014
707,11,1,40586.2005,2015
708,11,1,70912.85244999999,2016
709,11,1,68876.216,2017
710,11,1,69335.51063,2018
711,11,1,68782.92632,2019
712,11,1,72789.04735000001,2020
713,11,1,95323.69173,2021
714,11,2,18527.57554,2001
715,11,2,18064.29454,2002
716,11,2,10717.94385,2003
717,11,2,15025.864379999997,2004
718,11,2,41108.683419999994,2005
719,11,2,10359.701200000001,2006
720,11,2,10095.345530000002,2007
721,11,2,15310.51449,2008
722,11,2,10723.661509999998,2009
723,11,2,10260.848859999996,2010
724,11,2,9279.12129,2011
725,11,2,18979.110850000005,2012
726,11,2,13196.684379999999,2013
727,11,2,17124.37219,2014
728,11,2,12845.18896,2015
729,11,2,26801.7363,2016
730,11,2,26480.80648,2017
731,11,2,23760.492890000005,2018
732,11,2,23518.136479999997,2019
733,11,2,25390.561519999996,2020
734,11,2,33394.02461,2021
735,11,4,121.11111000000001,2001
736,11,4,9.60719,2002
737,11,4,27.08168,2003
738,11,4,22.84544,2004
739,11,4,109.15886,2005
740,11,4,19.59262,2006
741,11,4,28.0651,2007
742,11,4,13.23825,2008
743,11,4,8.92637,2009
744,11,4,43.49712,2010
745,11,4,42.81629,2011
746,11,4,39.71476,2012
747,11,4,87.82636,2013
748,11,4,38.12617,2014
749,11,4,21.3325,2015
750,11,4,74.28551999999999,2016
751,11,4,95.31543,2017
752,11,4,36.15934,2018
753,11,4,9.4559,2019
754,11,4,10.21237,2020
755,11,4,17.24755,2021
756,12,1,50746.97965999999,2001
757,12,1,52369.48153999999,2002
758,12,1,27808.863960000002,2003
759,12,1,53260.09200999999,2004
760,12,1,131759.54737,2005
761,12,1,31193.712120000004,2006
762,12,1,26154.211049999998,2007
763,12,1,40511.991420000006,2008
764,12,1,26051.76674,2009
765,12,1,33414.64739,2010
766,12,1,30337.628969999998,2011
767,12,1,45840.08646,2012
768,12,1,39369.830069999996,2013
769,12,1,50158.022520000006,2014
770,12,1,40586.2005,2015
771,12,1,70912.85244999999,2016
772,12,1,68876.216,2017
773,12,1,69335.51063,2018
774,12,1,68782.92632,2019
775,12,1,72789.04735000001,2020
776,12,1,95323.69173,2021
777,12,2,18527.57554,2001
778,12,2,18064.29454,2002
779,12,2,10717.94385,2003
780,12,2,15025.864379999997,2004
781,12,2,41108.683419999994,2005
782,12,2,10359.701200000001,2006
783,12,2,10095.345530000002,2007
784,12,2,15310.51449,2008
785,12,2,10723.661509999998,2009
786,12,2,10260.848859999996,2010
787,12,2,9279.12129,2011
788,12,2,18979.110850000005,2012
789,12,2,13196.684379999999,2013
790,12,2,17124.37219,2014
791,12,2,12845.18896,2015
792,12,2,26801.7363,2016
793,12,2,26480.80648,2017
794,12,2,23760.492890000005,2018
795,12,2,23518.136479999997,2019
796,12,2,25390.561519999996,2020
797,12,2,33394.02461,2021
798,12,4,121.11111000000001,2001
799,12,4,9.60719,2002
800,12,4,27.08168,2003
801,12,4,22.84544,2004
802,12,4,109.15886,2005
803,12,4,19.59262,2006
804,12,4,28.0651,2007
805,12,4,13.23825,2008
806,12,4,8.92637,2009
807,12,4,43.49712,2010
808,12,4,42.81629,2011
809,12,4,39.71476,2012
810,12,4,87.82636,2013
811,12,4,38.12617,2014
812,12,4,21.3325,2015
813,12,4,74.28551999999999,2016
814,12,4,95.31543,2017
815,12,4,36.15934,2018
816,12,4,9.4559,2019
817,12,4,10.21237,2020
818,12,4,17.24755,2021
819,13,1,50746.97965999999,2001
820,13,1,52369.48153999999,2002
821,13,1,27808.863960000002,2003
822,13,1,53260.09200999999,2004
823,13,1,131759.54737,2005
824,13,1,31193.712120000004,2006
825,13,1,26154.211049999998,2007
826,13,1,40511.991420000006,2008
827,13,1,26051.76674,2009
828,13,1,33414.64739,2010
829,13,1,30337.628969999998,2011
830,13,1,45840.08646,2012
831,13,1,39369.830069999996,2013
832,13,1,50158.022520000006,2014
833,13,1,40586.2005,2015
834,13,1,70912.85244999999,2016
835,13,1,68876.216,2017
836,13,1,69335.51063,2018
837,13,1,68782.92632,2019
838,13,1,72789.04735000001,2020
839,13,1,95323.69173,2021
840,13,2,18527.57554,2001
841,13,2,18064.29454,2002
842,13,2,10717.94385,2003
843,13,2,15025.864379999997,2004
844,13,2,41108.683419999994,2005
845,13,2,10359.701200000001,2006
846,13,2,10095.345530000002,2007
847,13,2,15310.51449,2008
848,13,2,10723.661509999998,2009
849,13,2,10260.848859999996,2010
850,13,2,9279.12129,2011
851,13,2,18979.110850000005,2012
852,13,2,13196.684379999999,2013
853,13,2,17124.37219,2014
854,13,2,12845.18896,2015
855,13,2,26801.7363,2016
856,13,2,26480.80648,2017
857,13,2,23760.492890000005,2018
858,13,2,23518.136479999997,2019
859,13,2,25390.561519999996,2020
860,13,2,33394.02461,2021
861,13,4,121.11111000000001,2001
862,13,4,9.60719,2002
863,13,4,27.08168,2003
864,13,4,22.84544,2004
865,13,4,109.15886,2005
866,13,4,19.59262,2006
867,13,4,28.0651,2007
868,13,4,13.23825,2008
869,13,4,8.92637,2009
870,13,4,43.49712,2010
871,13,4,42.81629,2011
872,13,4,39.71476,2012
873,13,4,87.82636,2013
874,13,4,38.12617,2014
875,13,4,21.3325,2015
876,13,4,74.28551999999999,2016
877,13,4,95.31543,2017
878,13,4,36.15934,2018
879,13,4,9.4559,2019
880,13,4,10.21237,2020
881,13,4,17.24755,2021
882,14,1,50746.97965999999,2001
883,14,1,52369.48153999999,2002
884,14,1,27808.863960000002,2003
885,14,1,53260.09200999999,2004
886,14,1,131759.54737,2005
887,14,1,31193.712120000004,2006
888,14,1,26154.211049999998,2007
889,14,1,40511.991420000006,2008
890,14,1,26051.76674,2009
891,14,1,33414.64739,2010
892,14,1,30337.628969999998,2011
893,14,1,45840.08646,2012
894,14,1,39369.830069999996,2013
895,14,1,50158.022520000006,2014
896,14,1,40586.2005,2015
897,14,1,70912.85244999999,2016
898,14,1,68876.216,2017
